"Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"492","Juice, orange, concentrated","Juice that is obtained by a concentration process in which the water is physically removed from the juice until it has not less than 20% of solids by weight. It is then reconstituted with water before consumption. Unfermented, it may or may not be frozen.","","200911, 200919","200911, 200919","21431.02"
"491","Juice, orange, single strength","Juice is obtained by mechanical extractors, or by pressing, and is then submitted to various processes. Unfermented, it may or may not be frozen. For direct consumption.","","200911, 200912","200911, 200912","21431.01"
"576","Juice, pineapple","See 491.","","200941","200941","21433"
"580","Juice, pineapple, concentrated","See 492. Soluble fruit solids of not less than 27% by weight.","","200949","200949","21433.01"
"539","Juice, plum, concentrated","See 492.","","200980","200989","21439.07"
"538","Juice, plum, single strength","See 491.","","200980","200989","21439.06"
"390","Juice, tomato","Juice is obtained by treating tomatoes with cold or hot water or with steam. The juice then undergoes various processes, such as clarification, homogenization, sterilization, etc.","","200950","200950","21321"
"780","Jute","White jute (Corchorus capsularis); red jute, tossa (C. olitorius). Trade data cover raw or processed jute (but not spun), tow and waste, yarn waste and garnetted stock and may include jute-like fibres.","","530310, 530390","530310, 530390","01922.01"
"778","Kapok fibre","Ceiba pentandra. This plant is cultivated for seed as well as for fibre. Trade data cover only fibres that have been crushed, carded or combed for spinning.","","530500","530500","01929.03"
"311","Kapokseed in shell","The soft shell is approximately 40-50% of the total weight of the nut.","","120799","120799","01499.06"
"312","Kapokseed shelled","Used for extracting oil.","","120799","120799","01499.07"
"592","Kiwi fruit","Actinidia chinensis.","","081050","081050","01352"
"224","Kola nuts","Kola, cola, Sudan cola nut (Cola nitida; C. vera; C. acuminata). Produced mainly in Africa. Kola nuts, containing 2.4 to 2.6% caffeine, are commonly chewed by the local population. Much used in Europe and America in the production of beverages.","","080290","080270","01379.02"
"173","Lactose","Also known as milk sugar. Produced commercially from whey.","","170211, 170219","170211, 170219","23210.06"
"1043","Lard","Rendered pig fat.","","150100","150110, 150120","21521"
"407","Leeks, other alliaceous vegetables","Leeks (Allium porrum); chives (A. schoenoprasum); other alliac. (Allium varieties except those of 402, 403 and 406).","","070390","070390","01254"
"497","Lemons and limes","Lemon (Citrus limon); sour lime (C. aurantifolia); sweet lime (C. limetta).","","080550","080550","01322"
"201","Lentils","Lens esculenta; Ervum lens.","","071340","071340","01704"
"372","Lettuce and chicory","Lactuca sativa; witloof chicory (Cichorium intybus var. foliosum); endive (C. endivia var. crispa); escarole chicory (C. endivia var. latifolia).","","070511, 070519, 070521, 070529","070511, 070519, 070521, 070529","01214"
"333","Linseed","Linum usitatissimum Flaxseed. An annual herbaceous that is cultivated for its fibre as well as its oil.","","120400","120400","01441"
"18","Macaroni","Pasta made from semolina, or flour, that is mixed with water and kneaded into a dough. Other ingredients may be included as well. The dough is then shaped into various forms. This heading is limited to macaroni that is not cooked, stuffed or otherwise prepared.","","190211, 190219","190211, 190219","23710"
"56","Maize","Zea mays Corn, Indian corn, mealies. A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production.","","100510, 100590","100510, 100590","0112"
"446","Maize, green","Zea mays, particularly var. saccharata. Maize harvested green for food. Saccharata variety is commonly known as sweet corn.","","070990","070999","01290.01"
"49","Malt","A grain - usually barley - that has been germinated through a soaking process and then dried. Malt is used in brewing and distilling, and as a nutrient additive. Includes whole, ground, flour, and roasted malt, but excludes extracts and preparations.","","110710, 110720","110710, 110720","24320"
"571","Mangoes, mangosteens, guavas","Mangifera indica. Trade figures may include dried mangoes, guavas and mangosteens, including both fresh and dried.","","080450","080450","01316"
"809","Manila fibre (abaca)","Musa textilis. The fibre is obtained from stalks of certain banana trees. For trade coverage see 789.","","530500","530500","01929.07"
"160","Maple sugar and syrups","Maple syrup is produced by atmospheric boiling of maple sap in an open-pan evaporator. Continuing the evaporation process until the syrup crystalizes yields maple sugar.","","170220","170220","23530"
"1241","Margarine, liquid","See commodity code 1242. Fat content varies from 30 to 70%.","","151790","151790","21700.01"
"1242","Margarine, short","Margarine is made principally from one or more hydrogenated vegetable or animal fats or oils in which is dispersed an aqueous potion containing milk products, salt, flavouring agents and other additives. Shortening is a product similar to margarine, but with a higher animal fat content. Shortening and compound fats are used primarily for baking and frying. The fat content of margarine and shortening varies from 70 to 90%.","","151710, 151790","151710, 151790","21700.02"
"671","Maté","Ilex paraguayensis. The dried leaves of certain shrubs of the holly family which grow in South America. Prepared in a way similar to tea.","","090300","090300","01630"
"1173","Meal, meat","Flours, meals and pellets of meat and offal (including of marine mammals); greaves and tankage. Used for feed.","","230110","230110","21190.01"
"1108","Meat, ass","Fresh, chilled or frozen.","","020500","020500","21118.02"
"874","Meat, beef and veal sausages","Preparations of meat or offal, whether chopped, minced or of blood. They may be raw, cooked or smoked and contain other ingredients, andare then enclosed in natural or artificial casings.","","160100","160100","21184.01"
"875","Meat, beef, preparations","Meat and offal (o/t liver) that are boiled, steamed, grilled, fried,roasted or otherwise cooked. Includes prepared meals that contain morethan 20% of meat and offal by weight.","","160250","160250","F0875"
"867","Meat, cattle","Meat of bovine animals, fresh, chilled or frozen, with bone in. Commontrade names are beef and veal.","","020110, 020120, 020210, 020220","020110, 020120, 020210, 020220","21111.01"
"870","Meat, cattle, boneless (beef & veal)","Boneless meat of bovine animals, whether fresh, chilled or frozen.","","020130, 020230","020130, 020230","21111.02"
"1058","Meat, chicken","Fresh, chilled or frozen. May include all types of poultry meat ifnational statistics do not report separate data.","","020711, 020712, 020713, 020714, 020732, 020733, 020735, 020736","020711, 020712, 020713, 020714, 020760","21121"
"1061","Meat, chicken, canned","Includes meat and offals of poultry.","","160231, 160232, 160239","160231, 160232, 160239","F1061"
"1164","Meat, dried nes","Meat, except of bovines and pigs, salted, in brine or smoked.","","021091, 021092, 021093, 021099","021091, 021092, 021093, 021099","21183"
"1069","Meat, duck","Fresh, chilled or frozen.","","020732, 020733, 020735, 020736","020741, 020742, 020744, 020745","21122"
"1163","Meat, game","Meat and offals of wild animals, whether fresh, chilled or frozen.","","020890","020890","21170.02"
"1017","Meat, goat","Meat of goats and kids, whether fresh, chilled or frozen, with bone inor boneless.","","020450","020450","21116"
"1073","Meat, goose and guinea fowl","Fresh, chilled or frozen.","","020732, 020733, 020735, 020736","020751, 020752, 020754, 020755","21123"
"1097","Meat, horse","Fresh, chilled or frozen.","","020500","020500","21118.01"
"1166","Meat, nes","Including frog legs, marine mammals, etc. Some countries includeunder this heading meats that are listed above, but which are notreported separately. Fresh, chilled or frozen.","","020830, 020840, 020850, 020890","020830, 020840, 020850, 020890","21119.90"
"1035","Meat, pig","Meat, with the bone in, of domestic or wild pigs (e.g. wild boars),whether fresh, chilled or frozen.","","020311, 020312, 020319, 020321, 020322, 020329","020311, 020312, 020319, 020321, 020322, 020329","21113.01"
"1041","Meat, pig sausages","See 874.","","160100","160100","21184.02"
"1042","Meat, pig, preparations","See 875.","","160241, 160242, 160249","160241, 160242, 160249","F1042"
"1038","Meat, pork","Pig meat, excluding butcher fat and bones.","","020319, 020329","020319, 020329","21113.02"
"1141","Meat, rabbit","Fresh, chilled or frozen. May include hare meat.","","020810","020810","21114"
"977","Meat, sheep","Meat of sheep and lamb, whether fresh, chilled or frozen, with bone inor boneless.","","020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443","020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443","21115"
"1080","Meat, turkey","Fresh, chilled or frozen.","","020724, 020725, 020726, 020727","020724, 020725, 020726, 020727","21124"
"568","Melons, other (inc.cantaloupes)","Cucumis melo;.","","080719","080719","01229"
